District,Code,Party,First_Name,Last_Name,Pronunciation Guide,,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,Openly LGBTQ,Pre-2016 Incumbent,HouseDem16,HouseRep16,HouseDem14,HouseRep14,Clinton16,Trump16,PVI,PVInum,Obama12,Rom12,PVI12,PVI12Num,Obama08,MCain08,PVI08,PVI08num,2010 Census Adult Population by Race,,,,,,2015 American Community Survey Income and Education,,,,,,2016 Two-Party,,2014 Two-Party,,2012 Two-Party,,,2016 House,,,,2014 House,,,,2012 House 2-Party,,2016 President,,,2012 President,,,2008 President Two-Party,,,Partisan Voter Index,,,Total Population Demographics,,,,,,,Voting Age Population Demographics (18+),,,,,,
Missouri 1st,MO-01,Democratic,Lacy,Clay,(LAY-see KLAY),/'leɪ.si kleɪ/,2000,1956,Man,Black - African-American,Roman Catholic,No,Re-elected,75.5,20,73,21.6,,,,,79.9,18.9,D+,29,81.2,18.8,D+,27,47.3,45.5,2.7,2.8,0.2,1.5,30.5,179,42.7,99,"$42,145.00",389,79.1,20.9,77.2,22.8,81.5,18.5,225,,,,,163494,119315,35273,8906,267927,60832,,,,350829,280194,66286,380787,309062,71725,,28.9,27.5,748540,319451,368775,22783,19440,1534,16557,575685,272167,261898,15490,16129,1215,8786
Missouri 2nd,MO-02,Republican,Ann,Wagner,(ANN WAG-ner),/æn 'wæg.nəɹ/,2012,1962,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,37.7,58.5,32.6,64.1,,,,,41.4,57.1,R+,10,46.8,53.2,R+,7,90.2,3.1,2,3.7,0.1,0.9,47.2,31,47.2,71,"$77,477.00",53,39.2,60.8,33.7,66.3,38.2,61.8,226,,,,,231117,75384,148191,7542,146272,236971,,,,411992,170727,235428,425039,199128,225911,,-9.9,-6.8,748401,664294,24801,17629,29374,1117,11186,572513,516348,17774,11289,21201,838,5063
Missouri 3rd,MO-03,Republican,Blaine,Luetkemeyer,(BLAYN LOOT-kuh-my-ur),/bleɪn 'lut.kə.ˌmaɪ.əɹ/,2008,1960,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,27.9,67.8,27.1,68.3,,,,,36.1,62,R+,15,43.4,56.6,R+,10,93.2,3.1,1.7,0.9,0.3,0.9,24.5,291,24.2,356,"$57,578.00",176,29.2,70.8,28.4,71.6,34.1,65.9,227,,,,,191620,52021,130940,8659,111189,214843,,,,353496,127443,219156,365024,158404,206620,,-15.2,-10.3,748398,688887,23839,15989,6734,2133,10816,563086,524617,17237,9743,4874,1647,4968
Missouri 4th,MO-04,Republican,Vicky,Hartzler,(VICK-ee HART-slur),/'vɪ.ki 'hɑɹt.sləɹ/,2010,1960,Woman,White - Non-Hispanic,Evangelical,No,Re-elected,27.8,67.8,26.4,68.1,,,,,36.4,61.2,R+,15,42.6,57.4,R+,11,89.7,4.3,2.6,1.5,0.5,1.4,25.2,278,24.6,350,"$45,735.00",348,29.1,70.9,27.9,72.1,37,63,228,,,,,176286,46464,120014,9808,113120,192237,,,,329292,119908,201672,344520,146703,197817,,-14.7,-11.1,749315,661410,33714,24278,10807,3622,15484,573748,514675,24803,14999,8562,2782,7927
Missouri 5th,MO-05,Democratic,Emanuel,Cleaver,(ih-MAN-yoo-wuhl KLEE-ver),/ɪ.'mæn.ju.ˌwəl 'kli.vəɹ/,2004,1944,Man,Black - African-American,Methodist,No,Re-elected,58.8,38.2,51.6,45,,,,,58.9,39.4,D+,8,62.8,37.2,D+,9,69,20.2,6.8,1.8,0.4,1.6,27.2,241,31.6,234,"$46,396.00",342,60.6,39.4,53.4,46.6,62.1,37.9,229,,,,,153635,79256,69071,5308,200290,122149,,,,338346,199298,133185,365567,229496,136071,,8,9.1,748737,488072,162753,62467,13701,3099,18645,569063,392820,115228,38874,10423,2444,9274
Missouri 6th,MO-06,Republican,Sam,Graves,(SAM GRAYVZ),/sæm gɹeɪvz,2000,1963,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,28.4,68,29.5,66.7,,,,,37.9,60,R+,13,43.8,56.2,R+,10,91.2,3.6,2.7,1.2,0.3,1,27.3,238,27.5,303,"$56,422.00",193,29.5,70.5,30.7,69.3,33.3,66.7,230,,,,,186970,55157,124616,7197,108503,216906,,,,341953,129610,205283,353296,154736,198560,,-13.3,-9.9,748760,671952,28069,24951,8941,2523,12324,564869,515112,20613,15126,6509,1945,5564
Missouri 7th,MO-07,Republican,Billy,Long,(BILL-ee LAWNG),/'bɪ.li lɔŋg/,2010,1955,Man,White - Non-Hispanic,Presbyterian,No,Re-elected,27.4,67.5,28.8,63.5,,,,,30.3,67.6,R+,21,35.9,64.1,R+,18,91.5,1.5,3.3,1.2,0.9,1.5,24,304,24.7,348,"$43,823.00",366,28.9,71.1,31.2,68.8,32.6,67.4,231,,,,,163957,47282,104054,12621,98498,203565,,,,325978,98916,220216,337236,121064,216172,,-21,-17.8,748406,671805,11760,32310,9506,6987,16038,571140,522790,8487,19015,6980,5101,8767
Missouri 8th,MO-08,Republican,Jason,Smith,(JAY-suhn SMITH),/'dʒeɪ.sən smɪθ/,2013 Special,1980,Man,White - Non-Hispanic,Pentecostal,No,Re-elected,22.7,74.4,24.3,66.7,,,,,32,65.9,R+,19,39,61,R+,15,92.6,4.1,1.3,0.6,0.4,1,15.6,418,15.7,433,"$40,327.00",404,23.4,76.6,26.7,73.3,25.4,74.6,232,,,,,159224,38721,106124,14379,73755,216083,,,,305437,97700,201214,316256,123319,192937,,-19.3,-14.7,748370,684877,33438,12063,4481,3047,10464,573387,530763,23571,7276,3580,2425,5772
Montana At-Large,MT-00,Republican,Ryan,Zinke,(RAHY-uhn ZIN-kee),/'ɹaɪ.ən 'zɪŋ.ki/,2014,1961,Man,White - Non-Hispanic,Evangelical Lutheran,No,Re-elected,40.5,56.2,40.4,55.4,35.9,56.5,R+,12,41.7,55.4,R+,9,48.8,51.2,R+,5,90,0.3,2.3,0.7,5.1,1.6,30.6,177,32,228,"$49,509.00",288,41.9,58.1,42.2,57.8,44.5,55.5,233,,,,,367963,148690,203871,15402,204939,255468,494525,177709,279240,483932,201839,267928,474430,231667,242763,-12.2,-9,-4.9,989415,868628,3743,28565,6747,59902,21830,765852,689188,2617,17420,5302,38949,12376
Nebraska 1st,NE-01,Republican,Jeff,Fortenberry,(JEFF FOR-tn-bare-ee),/dʒɛf 'fɔɹ.ʔn.ˌbɛ.ɹi/,2004,1960,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,30.5,69.5,31.2,68.8,36.2,57.5,R+,12,40.8,57.5,R+,10,44.9,55.1,R+,9,87.9,2.3,5.8,2.1,0.9,1,29.9,192,31.2,240,"$54,647.00",215,30.5,69.5,31.2,68.8,31.7,68.3,234,,,,,179057,55838,123219,0,81206,174889,276046,100030,158629,264718,107994,152122,261984,117514,144470,-12.4,-10.4,-8.8,608065,516832,14907,45360,12787,6909,11270,458727,403070,10348,26641,9555,4348,4765
Nebraska 2nd,NE-02,Republican,Don,Bacon,(DAHN BAY-kuhn),/dɑn 'beɪ.kən/,2016,1963,Man,White - Non-Hispanic,,No,Defeated,47.7,48.9,49,45.7,46,48.2,R+,2,45.7,52.8,R+,6,50.6,49.4,R+,3,78.3,9.2,8.2,2.5,0.4,1.3,38.5,89,42.4,104,"$61,607.00",142,49.4,50.6,51.8,48.2,49.2,50.8,235,,,,,171050,83872,78157,9021,129767,133964,285211,131102,137506,266720,121971,140880,262906,133016,129890,-2.3,-5.6,-3.1,609223,454079,61305,61976,15680,2755,13428,447161,350324,41319,36613,11309,1943,5653
Nebraska 3rd,NE-03,Republican,Adrian,Smith,(AY-dree-in SMITH),/'eɪ.ɾɹi.ɪn smɪθ/,2006,1970,Man,White - Non-Hispanic,Christian,No,Re-elected,0,100,24.6,75.4,20,74.9,R+,30,27.8,70.2,R+,24,31.7,68.3,R+,22,89.7,0.7,7.6,0.7,0.7,0.6,21.9,341,23.4,367,"$50,009.00",283,0,100,24.6,75.4,25.8,74.2,236,,,,,184964,45524,139440,0,65266,187423,266918,53362,199826,259224,72116,182062,261408,82789,178619,-30,-23.6,-22,609053,528842,4747,60069,4418,5133,5844,461232,413562,3314,34967,3239,3346,2804
Nevada 1st,NV-01,Democratic,Dina,Titus,(DEE-nuh TIE-tus),/'di.nə 'taɪ.ɾəs/,"2012, 2008-2010",1950,Woman,White - Non-Hispanic,Eastern Orthodox,No,Re-elected,61.9,28.8,56.8,37.9,61.6,32.6,D+,14,65.6,32.4,D+,15,66.1,33.9,D+,12,42.3,9.5,36.5,9,0.5,2.2,15.4,420,22.4,388,"$37,299.00",420,68.3,31.7,60,40,66.8,33.2,237,,,,,80299,45643,30413,4243,113967,56521,196840,121321,64233,187686,123205,60813,184568,122041,62527,14.3,15,12.4,674442,246051,63635,287756,55478,3099,18423,509371,215645,48217,185912,46076,2538,10983
Nevada 2nd,NV-02,Republican,Mark,Amodei,(MARK AM-uh-day),/mɑɹk 'æ.mə.deɪ/,2011 Special,1958,Man,White - Non-Hispanic,Christian,No,Re-elected,36.9,58.3,27.9,65.7,39.7,52,R+,8,44.8,52.9,R+,6,50.6,49.4,R+,3,73.8,1.7,16.6,4.3,1.8,1.8,26,263,30.1,254,"$56,823.00",187,38.8,61.2,29.8,70.2,38.6,61.4,238,,,,,186210,52016,122402,11792,102019,162213,326011,129318,169631,293476,131542,155187,279273,141357,137916,-7.9,-6.1,-3.1,675971,469069,11684,138087,27912,12641,16578,515125,379952,8925,85495,22255,9378,9120
Nevada 3rd,NV-03,Democratic,Jacky,Rosen,(JACK-ee ROH-zen),/'dʒæ.ki 'ɹoʊ.sən/,2016,1957,Woman,White - Non-Hispanic,Jewish,No,Open - Ran for Senate and lost,47.2,46,36.1,60.8,46.5,47.5,R+,2,49.5,48.7,R+,2,54.6,45.4,D+,1,64.4,5.9,13.5,13.1,0.4,2.7,31.8,158,33.9,197,"$64,914.00",118,50.7,49.3,37.3,62.7,46,54,239,,,,,145719,52644,88528,4547,116823,137244,325602,151552,154815,283656,140501,138238,257286,140378,116908,-1.6,-1.6,0.9,675469,412783,41181,105955,86223,2751,26576,521733,335885,30810,70493,68194,2170,14181
Nevada 4th,NV-04,Democratic,Ruben,Kihuen,(ROO-bin KYOO-wen),/'ɹu.bɪn 'kju.wɪn/,2016,1980,Man,Hispanic - Mexican,Roman Catholic,No,Defeated,48.5,44.5,45.8,48.5,49.5,44.6,D+,2,54.4,43.7,D+,3,57.6,42.4,D+,4,54.7,13.2,23,6,0.8,2.3,19.8,376,24.7,348,"$54,731.00",212,52.2,47.8,48.5,51.5,54.3,45.7,240,,,,,130781,59844,63466,7471,120501,101261,276932,137070,123380,250100,136124,109330,225438,129961,95477,1.5,3.5,4,674669,334178,91558,184703,36890,5045,22295,489314,267816,64558,112634,29330,3771,11205
New Hampshire 1st,NH-01,Democratic,Carol,Shea-Porter,(KAIR-ul shay POOR-ter),/'kɛ.ɹl ʃei 'pɔɹ.ɾɹ,2016,1952,Woman,White - Non-Hispanic,Roman Catholic,No,Defeated,45.8,44.4,48.1,51.7,46.6,48.2,R+,2,50.2,48.6,R+,1,53.2,46.8,R+,0,93.7,1,2.2,1.9,0.2,1,36.3,107,36.3,169,"$71,858.00",75,50.8,49.2,48.2,51.8,52,48,241,,,,,242736,116769,125508,459,171650,158659,371943,173344,179259,356812,179148,173419,350575,186598,163977,-2,-1.2,-0.5,658233,607603,7643,18305,13357,1176,10149,514495,481892,5135,11377,9906,916,5269
New Hampshire 2nd,NH-02,Democratic,Annie,Kuster,(ANN-ee KUHS-ter),/'æ.ni 'kə.stəɹ/,2012,1956,Woman,White - Non-Hispanic,Episcopalian,No,Re-elected,49.8,45.4,54.9,44.9,48.7,46.3,D+,0,54.2,44.5,D+,3,56.5,43.5,D+,3,93.5,0.8,2.2,2.2,0.2,1.1,35.1,117,34.6,188,"$68,252.00",92,52.3,47.7,55,45,52.5,47.5,242,,,,,238149,130679,106857,613,169275,152977,359988,175140,166524,351587,190413,156499,350785,198228,152557,0.1,2.9,2.8,658237,607447,5982,18399,15213,1517,9679,514741,481039,4301,11557,11180,1208,5456
New Jersey 1st,NJ-01,Democratic,Donald,Norcross,(DAHN-uhld NOR-kraws),/'dɑ.nəld 'nɔɹ.kɹɔs/,2014 Special,1958,Man,White - Non-Hispanic,Lutheran,No,Re-elected,60,36.8,57.4,39.4,60.6,36.1,D+,12,65.1,33.8,D+,14,65.4,34.6,D+,12,68.9,15.4,9.9,4.5,0.2,1.2,30.9,170,33.3,205,"$67,318.00",95,62,38,59.3,40.7,69.5,30.5,243,,,,,162492,93315,64073,5104,210470,92459,329188,199386,118880,326134,212236,110377,336116,219874,116242,11.5,13.8,11.7,731714,480423,119179,84785,32984,1128,13215,556968,383899,85825,54875,24852,854,6663
New Jersey 2nd,NJ-02,Republican,Frank,LoBiondo,(FRAYNK low-bee-AHN-doh),/fɹeɪŋk ˌloʊ.bi.'ɑn.doʊ/,1994,1946,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,37.2,59.2,37.3,61.5,46,50.6,R+,4,53.5,45.4,D+,2,53.9,46.1,D+,0,71,11.8,12.2,3.5,0.3,1.2,25.3,277,29.6,263,"$59,105.00",164,38.6,61.4,37.8,62.2,41.1,58.9,244,,,,,177148,66026,108875,2247,116463,166679,321004,147656,162486,311778,166906,141479,324576,174840,149736,-3.5,2.2,0.2,732326,495309,90019,105485,26175,2089,13249,564025,400427,66558,68994,19629,1642,6775
New Jersey 3rd,NJ-03,Republican,Tom,MacArthur,(TAHM muh-KAR-thur),/tɑm mə.kɑɹ.θəɹ/,2014,1960,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,38.9,59.3,44.4,54,45.2,51.4,R+,4,51.8,47.2,D+,0,51.7,48.3,R+,2,80,9.8,5.6,3.2,0.1,1.4,32.3,151,33.3,205,"$71,196.00",80,39.6,60.4,45.1,54.9,45.5,54.5,245,,,,,186103,82537,100471,3095,145509,174257,365240,165090,187703,345812,179028,163203,363735,188210,175525,-4.3,0.3,-1.9,733895,571319,74882,47920,24343,888,14543,571390,457098,55799,31913,18146,691,7743
New Jersey 4th,NJ-04,Republican,Chris,Smith,(KRISS SMITH),/kɹɪs smɪθ/,1980,1953,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,33.5,63.7,31.1,68,41,55.8,R+,9,44.7,54.2,R+,7,45.8,54.2,R+,8,80.5,6.2,8.5,3.8,0.1,0.9,38.7,87,41.1,119,"$78,467.00",49,34.5,65.5,31.4,68.6,35.6,64.4,246,,,,,174849,54415,118826,1608,108097,195186,356583,146191,198859,332612,148622,180439,350967,160660,190307,-8.7,-6.8,-7.9,732848,578886,46412,69676,27558,643,9673,547849,440802,34160,46528,20703,510,5146
New Jersey 5th,NJ-05,Democratic,Josh,Gottheimer,(JAHSH GAHT-hahy-mer),/dʒɑʃ 'gɑt.haɪ .məɹ/,2016,1975,Man,White - Non-Hispanic,,No,Defeated,51.1,46.7,43.3,55.4,47.7,48.8,R+,2,47.9,50.9,R+,3,49,51,R+,5,75.4,4.4,10.1,8.8,0.1,1.1,46.1,34,46.2,80,"$96,349.00",13,52.3,47.7,43.9,56.1,43.7,56.3,247,,,,,188921,81808,104678,2435,130102,167503,364545,173963,178058,338580,162305,172486,360340,176486,183854,-1.7,-3.5,-4.7,734272,542510,32124,81017,66519,935,11167,559815,422171,24644,56682,49511,691,6116
New Jersey 6th,NJ-06,Democratic,Frank,Pallone,(FRAYNK puh-LOHN),/fɹeɪŋk pə.'loʊn/,1988,1951,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,63.7,34.9,59.9,38.9,56.2,40.6,D+,7,61.4,37.4,D+,10,59.1,40.9,D+,5,55.2,9,17.6,16.5,0.1,1.7,38.5,89,37.7,153,"$75,203.00",63,64.6,35.4,60.6,39.4,64.2,35.8,248,,,,,120457,72190,46891,1376,152310,84831,289648,162857,117679,265918,163391,99466,288790,170603,118187,6.9,10.2,5.4,733855,381645,68724,143987,123372,1046,15081,566466,312435,51098,99520,93297,633,9483
New Jersey 7th,NJ-07,Republican,Leonard,Lance,(LEH-nerd LANCE),/'lɛ.nɹd læns/,2008,1952,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,43.1,54.1,38.8,59.3,48.6,47.5,R+,1,46.3,52.5,R+,5,47.8,52.2,R+,6,77.4,3.9,10,7.8,0.1,0.9,52.2,18,53.7,40,"$101,746.00",7,44.4,55.6,39.6,60.4,41.2,58.8,249,,,,,175997,68232,104287,3478,123090,175704,371592,180530,176386,340175,157635,178521,360682,172330,188352,-0.5,-5.1,-5.9,732573,554527,28675,77840,59668,475,11388,547532,423711,21189,54670,42569,350,5043
New Jersey 8th,NJ-08,Democratic,Albio,Sires,(AL-bee-oh SEAR-ees),/'æl.bi.o 'si.ɹis/,2006 Special,1951,Man,Hispanic - Cuban,Roman Catholic,No,Re-elected,77,18.5,77.4,19,75.7,21.5,D+,27,78.3,20.8,D+,27,73.8,26.2,D+,20,30.4,8.6,50.3,8.6,0.1,2,31.9,157,49.1,60,"$55,090.00",208,80.6,19.4,80.2,19.8,80.5,19.5,250,,,,,79518,61510,15141,2867,130858,31769,229736,173834,49336,207307,162232,43032,215515,159013,56502,26.8,27.1,20.1,732104,203075,66204,387383,58044,987,16411,572563,174044,49401,287873,49000,653,11592
New Jersey 9th,NJ-09,Democratic,Bill,Pascrell,(BILL PASS-KRELL) [equal stress],/bɪl pæ.skɹɛl/,1996,1937,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,69.7,28,68.5,30.1,64.3,33.1,D+,15,68.4,30.8,D+,17,64.5,35.5,D+,11,45.6,9.5,31.2,12.2,0.1,1.4,32.1,153,35.9,175,"$60,867.00",152,71.3,28.7,69.5,30.5,74.7,25.3,251,,,,,120459,82498,36246,1715,162834,55094,276738,177954,91696,253218,173082,77951,264575,170663,93912,14.9,17,10.8,729408,310114,71060,247761,87347,788,12338,559066,255127,52933,174465,68340,519,7682
New Jersey 10th,NJ-10,Democratic,Donald,Payne,(DAHN-uhld PAYN),/'dɑ.nəld peɪn/,2012 Special,1958,Man,Black - African-American,Baptist,No,Re-elected,85.7,11.9,85.4,12.6,85.2,12.8,D+,36,87.9,11.5,D+,36,85.4,14.6,D+,32,23.8,50.1,16.8,6.9,0.2,2.3,27.8,230,44.2,91,"$47,184.00",325,87.8,12.2,87.1,12.9,89.2,10.8,252,,,,,112123,95734,14154,2235,201435,24271,274410,233822,35111,272407,239483,31379,283868,242306,41562,35.8,36.5,31.7,735256,158829,377722,130777,47276,1650,19002,556646,132238,278777,93309,38307,1182,12833
New Jersey 11th,NJ-11,Republican,Rodney,Frelinghuysen,(RAHD-nee FREE-ling-high-zen),/'ɹɑd.ni 'fɹi.lɪŋg.ˌhaɪ.zɛn/,1994,1946,Man,White - Non-Hispanic,Episcopalian,No,Re-elected,38.9,58,37.4,62.6,47.9,48.8,R+,2,46.6,52.4,R+,5,47.4,52.6,R+,6,79,3.4,8,8.5,0.1,1.1,52,19,52.3,44,"$102,205.00",6,40.1,59.9,37.4,62.6,40.5,59.5,253,,,,,174932,65477,109455,0,123935,182239,380595,182334,185696,350909,163493,183775,372111,176436,195675,-1.6,-4.9,-6.3,732771,567938,24936,64056,63677,544,11620,564075,445480,19069,45200,47903,380,6043
New Jersey 12th,NJ-12,Democratic,Bonnie,Watson Coleman,(BAH-nee WAHT-suhn KOLE-muhn),/'bɑ.ni 'wɑt.sən 'koʊl.mən/,2014,1945,Woman,Black - African-American,Baptist,No,Re-elected,62.9,32,61,36.5,65,31.8,D+,16,66.5,32.4,D+,15,66.4,33.6,D+,13,53.9,16.7,14.3,13.5,0.1,1.5,43.3,49,47.1,74,"$78,982.00",48,66.3,33.7,62.5,37.5,70.1,29.9,254,,,,,148366,90430,54168,3768,189938,80907,314766,204661,100043,298083,198197,96642,307355,204001,103354,16.1,15.3,12.7,730872,370303,125464,114457,104827,1054,14767,560285,302134,93303,80114,75600,679,8455
New Mexico 1st,NM-01,Democratic,Michelle,Lujan Grisham,(mih-SHELL LOO-hahn GRISH-uhm),/mɪ.'ʃɛl 'lu.hɑn 'gɹɪ.ʃəm/,2012,1959,Woman,Hispanic - New Mexican (Hispanos),Roman Catholic,No,Re-elected,65.1,34.9,58.6,41.4,51.6,35.1,D+,8,55.3,39.6,D+,6,60.5,39.5,D+,7,46.9,2.4,43.5,2.2,3.5,1.5,31.6,159,47.4,70,"$47,199.00",324,65.1,34.9,58.6,41.4,59.2,40.8,255,,,,,180032,105474,74558,0,162924,112473,285170,147250,100132,282195,155915,111749,294370,178068,116302,8.4,6.3,6.8,686391,288232,16016,329665,14776,24773,12929,523774,245411,12598,227802,11729,18281,7953
New Mexico 2nd,NM-02,Republican,Steve,Pearce,(STEEV PIERCE),/stiv pɪəɹs/,"2010, 2002-2008",1947,Man,White - Non-Hispanic,Southern Baptist,No,Re-elected,37.2,62.7,35.5,64.4,39.9,50.1,R+,7,44.9,51.7,R+,5,49.1,50.9,R+,5,45.3,1.6,46.9,0.8,4.3,1.1,20.1,371,29.1,272,"$41,232.00",395,37.3,62.7,35.5,64.5,40.9,59.1,256,,,,,147777,52499,95209,69,92162,133180,234095,93363,117211,230391,103438,119168,241105,118400,122705,-6.8,-5.5,-4.6,686420,275624,10725,355689,5258,30590,8534,508668,230525,8306,238436,4291,21756,5354
New Mexico 3rd,NM-03,Democratic,Ben Ray,Luján,(BEN RAY loo-HAHN),/bɛn ɹeɪ lu.'hɑn/,2008,1972,Man,Hispanic - New Mexican (Hispanos),Roman Catholic,No,Re-elected,62.4,37.6,61.5,38.4,51.8,36.7,D+,7,57.5,38.7,D+,8,62,38,D+,8,43.7,1.3,36.4,1.2,16.1,1.3,27.4,236,42.1,106,"$48,061.00",312,62.4,37.6,61.5,38.5,63.1,36.9,257,,,,,184076,113249,70775,52,167103,97616,279053,144621,102323,271171,155982,104871,283778,175953,107825,7.5,7.8,8.3,686368,269954,8721,268049,7517,120005,12122,508065,221912,6549,185088,5923,81925,6668
New York 1st,NY-01,Republican,Lee,Zeldin,(LEE ZEL-din),/li 'zɛl.dɪn/,2014,1980,Man,White - Non-Hispanic,Jewish,No,Re-elected,41,58.9,45.5,54.4,,,,,49.6,49.1,R+,2,51.9,48.1,R+,2,80,4.3,11.2,3.3,0.2,1,34.3,126,35.7,179,"$86,645.00",25,41.1,58.9,45.6,54.4,52.5,47.5,258,,,,,172865,78722,94035,108,146179,132304,,,,295673,146708,145115,325005,168611,156394,,-1.7,-1.8,717177,558724,32109,89960,24029,1735,10620,549345,439385,23385,61325,18374,1304,5572
New York 2nd,NY-02,Republican,Pete,King,(PEET KING),/pit kɪŋg/,1992,1944,Man,White - Non-Hispanic,Roman Catholic,No,Re-elected,37.5,62.4,30,68.3,,,,,51.6,47.2,D+,0,51.7,48.3,R+,2,68.8,8.5,18.5,2.9,0.1,1.1,30,191,33.4,200,"$89,668.00",23,37.5,62.5,30.5,69.5,41.4,58.6,259,,,,,139330,41814,95177,2339,100545,142309,,,,272663,140817,128791,302041,156151,145890,,0.3,-2,718757,475083,64067,146936,20965,1055,10651,546482,376200,46322,101349,15885,753,5973
New York 3rd,NY-03,Democratic,Tom,Suozzi,(TAHM SWAH-zee),/tɑm 'swɑ.zi/,2016,1962,Man,White - Non-Hispanic,Roman Catholic,No,Open - Retired,52.8,47.2,54.8,45.2,,,,,50.8,48.2,R+,1,54,46,D+,0,73.9,2.9,9,12.7,0.1,1.4,51.8,21,54.3,35,"$102,602.00",5,52.8,47.2,54.8,45.2,58.2,41.8,260,,,,,164375,90032,74269,74,157880,113203,,,,306221,155451,147617,338793,182847,155946,,-0.7,0.3,717864,520046,20752,69966,93704,651,12745,553265,409130,15942,49938,70254,431,7570
New York 4th,NY-04,Democratic,Kathleen,Rice,(KATH-leen RICE),/'kæθ.lin ɹaɪs/,2014,1965,Woman,White - Non-Hispanic,Roman Catholic,No,Re-elected,59.5,40.4,52.8,47.1,,,,,56.3,42.8,D+,5,55.7,44.3,D+,2,63.2,13.5,16.5,5.4,0.1,1.3,40.7,70,48.1,65,"$97,111.00",11,59.5,40.5,52.8,47.2,65.7,34.3,261,,,,,170099,89793,80127,179,163955,85693,,,,308119,173508,131750,332599,185400,147199,,4.9,2.1,718843,438618,98985,129190,39499,828,11723,552258,349205,74349,91252,29883,534,7035
New York 5th,NY-05,Democratic,Gregory,Meeks,(GREH-gree MEEKS),/'gɹɛ.gɹi miks/,1998 Special,1953,Man,Black - African-American,Baptist,No,Re-elected,85.4,13,94.9,0,,,,,90.6,9.1,D+,39,86.4,13.6,D+,33,13.1,50.1,17.9,11.4,0.5,7.1,24.3,294,35.5,181,"$65,012.00",116,86.8,13.2,100,0,90.4,9.6,262,,,,,79821,75712,0,4109,167836,17875,,,,212347,192374,19325,239210,206652,32558,,38.9,32.7,710048,85259,355785,133873,80160,4151,50820,539006,70612,269874,96565,61389,2543,38023
New York 6th,NY-06,Democratic,Grace,Meng,(GRACE MAYNG),/gɹeɪs meɪŋg/,2012,1975,Woman,Asian - Chinese,Christian,No,Re-elected,72.1,26.7,98.9,0,,,,,67.8,31,D+,17,64,36,D+,10,39.7,3.7,17.4,37.1,0.1,2,36.2,109,42.1,106,"$59,696.00",160,72.9,27.1,100,0,68.7,31.3,263,,,,,55963,55368,0,595,111501,50846,,,,185058,125496,57455,198213,126794,71419,,16.6,10.3,724580,277856,26223,133838,268850,859,16954,590986,234736,21808,102540,219479,529,11894
New York 7th,NY-07,Democratic,Nydia,Velázquez,(NEE-dee-uh vuh-LASS-kess),/'ni.ɾi.ə və.'læs.kɛs/,1992,1953,Woman,Hispanic - Puerto Rican,Roman Catholic,No,Re-elected,90.7,9.2,88.7,9,,,,,88.3,10.3,D+,38,85,15,D+,31,28.6,8.4,41.3,19.5,0.2,2,33,141,59.9,21,"$49,420.00",291,90.8,9.2,90.8,9.2,100,0,264,,,,,63812,56593,5713,1506,143930,0,,,,180591,159552,18671,186991,158908,28083,,37.6,31.3,714039,199545,59712,306463,131025,1427,15867,542978,155395,45490,224396,105795,954,10948
New York 8th,NY-08,Democratic,Hakeem,Jeffries,(hah-KEEM JEFF-reez),/hɑ.'kim 'dʒɛ.fɹiz/,2012,1970,Man,Black - African-American,Baptist,No,Re-elected,93.2,0,92,0,,,,,89.3,10.1,D+,38,86.3,13.7,D+,33,24.5,51.5,16.9,4.7,0.2,2.2,30.9,170,51.2,50,"$47,220.00",323,100,0,100,0,91.2,8.8,265,,,,,83999,77255,0,6744,184039,17650,,,,235295,210018,23869,241271,208300,32971,,37.8,32.6,718016,155930,378439,131873,33159,1863,16752,550237,134637,283398,93051,25820,1350,11981
New York 9th,NY-09,Democratic,Yvette,Clarke,(ee-VET KLARK),/i.'vɛt klɑɹk/,2006,1964,Woman,Black - African-American,African Methodist,No,Re-elected,92.3,0,89.3,0,,,,,85.3,13.8,D+,34,84.5,15.5,D+,31,31.2,50.2,10.6,5.9,0.2,2,37.3,96,64,15,"$51,148.00",260,100,0,100,0,88.5,11.5,266,,,,,92569,82659,0,9910,186141,24164,,,,239547,204281,33156,247037,208748,38289,,34.1,30.8,727032,221159,364537,81691,42491,1464,15690,558573,174104,280141,59320,33036,1026,10946
New York 10th,NY-10,Democratic,Jerry,Nadler,(JAIR-ee NADD-ler),/'dʒɛ.ɹi 'næd.ləɹ/,1992 Special,1947,Man,White - Non-Hispanic,Jewish,No,Re-elected,78,21.9,87.4,0,,,,,73.6,25,D+,23,76.4,23.6,D+,23,65.5,4,11.9,16.8,0.1,1.8,60.3,4,69.4,9,"$81,834.00",35,78.1,21.9,100,0,80.8,19.2,267,,,,,101881,89080,0,12801,165743,39413,,,,235821,173650,58992,256656,195974,60682,,22.7,22.7,716260,468129,26602,86976,118122,668,15763,580997,380321,23210,68915,97406,502,10643
